Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,293.01,293.01,295.79,285.4,291.77,20358325.0
2015-07-28,293.7,293.7,296.68,291.67,293.01,14466428.0
2015-07-29,288.37,288.37,294.72,286.89,293.7,14738216.0
2015-07-30,287.02,287.02,289.89,284.91,288.37,12888680.0
2015-07-31,283.73,283.73,288.69,280.77,287.02,14019071.0
2015-08-01,280.47,280.47,284.53,276.3,283.73,11068826.0
2015-08-02,281.36,281.36,282.5,275.93,280.47,9978638.0
2015-08-03,281.58,281.58,285.0,278.94,281.36,13006246.0
2015-08-04,284.3,284.3,285.66,279.58,281.58,12732203.0
2015-08-05,281.72,281.72,285.45,280.53,284.3,10854754.0
2015-08-06,278.0,278.0,281.98,276.46,281.72,9319083.0
2015-08-07,277.89,277.89,279.6,274.28,278.0,11919665.0
2015-08-08,258.6,258.6,278.92,257.42,277.89,22308123.0
2015-08-09,263.87,263.87,266.75,258.56,258.6,15154749.0
2015-08-10,263.3,263.3,266.63,260.52,263.87,12873441.0
2015-08-11,269.03,269.03,269.9,261.44,263.3,13681939.0
2015-08-12,267.66,267.66,271.5,263.66,269.03,15232934.0
2015-08-13,263.44,263.44,268.39,261.28,267.66,14962211.0
2015-08-14,265.03,265.03,267.22,260.21,263.44,13899139.0
2015-08-15,260.52,260.52,266.55,259.38,265.03,10303301.0
2015-08-16,257.12,257.12,261.92,254.57,260.52,17880398.0
2015-08-17,257.13,257.13,259.93,252.87,257.12,12378054.0
2015-08-18,246.72,246.72,257.53,245.74,257.13,23896056.0
2015-08-19,226.0,226.0,247.95,214.29,246.72,55514712.0
2015-08-20,234.66,234.66,238.03,225.54,226.0,21225055.0
2015-08-21,232.4,232.4,236.3,230.48,234.66,13485729.0
2015-08-22,229.54,229.54,235.07,221.04,232.4,16976922.0
2015-08-23,226.75,226.75,232.7,224.27,229.54,11204081.0
2015-08-24,211.43,211.43,228.43,207.82,226.75,43008579.0
2015-08-25,220.51,220.51,226.55,196.26,211.43,40651749.0
2015-08-26,224.97,224.97,230.69,218.79,220.51,20986286.0
2015-08-27,222.73,222.73,228.44,222.0,224.97,13631111.0
2015-08-28,231.64,231.64,234.81,219.6,222.73,20751420.0
2015-08-29,228.5,228.5,233.09,226.35,231.64,10072201.0
2015-08-30,228.4,228.4,232.32,225.44,228.5,9118089.0
2015-08-31,229.47,229.47,231.79,224.2,228.4,12521966.0
2015-09-01,227.18,227.18,231.45,225.76,229.47,15206241.0
2015-09-02,228.63,228.63,230.59,225.57,227.18,13443780.0
2015-09-03,226.2,226.2,229.62,225.36,228.63,12337406.0
2015-09-04,230.25,230.25,231.06,225.75,226.2,14174313.0
2015-09-05,233.67,233.67,235.61,228.29,230.25,11253257.0
2015-09-06,239.86,239.86,243.64,234.74,233.67,15939620.0
2015-09-07,239.58,239.58,242.66,237.49,239.86,13744695.0
2015-09-08,243.24,243.24,246.38,239.23,239.58,18605471.0
2015-09-09,237.41,237.41,244.34,236.49,243.24,16636258.0
2015-09-10,238.08,238.08,240.63,234.31,237.41,14447606.0
2015-09-11,239.9,239.9,241.02,237.38,238.08,10992443.0
2015-09-12,235.6,235.6,240.32,233.32,239.9,10407178.0
2015-09-13,230.19,230.19,236.16,228.28,235.6,11983360.0
2015-09-14,229.91,229.91,232.64,225.96,230.19,14070910.0
2015-09-15,229.53,229.53,242.83,228.03,229.91,11425472.0
2015-09-16,228.6,228.6,230.89,225.05,229.53,11866728.0
2015-09-17,232.72,232.72,235.17,227.95,228.6,12975914.0
2015-09-18,232.21,232.21,234.69,230.58,232.72,12397851.0
2015-09-19,231.11,231.11,233.35,230.21,232.21,8004103.0
2015-09-20,231.09,231.09,232.67,229.93,231.11,7676869.0
2015-09-21,226.33,226.33,231.63,225.0,231.09,12180039.0
2015-09-22,230.01,230.01,233.24,224.07,226.33,16390021.0
2015-09-23,229.89,229.89,232.2,228.5,230.01,10064288.0
2015-09-24,233.76,233.76,235.84,229.57,229.89,16797644.0
2015-09-25,235.03,235.03,237.58,232.7,233.76,14510987.0
2015-09-26,234.3,234.3,235.71,232.74,235.03,9449846.0
2015-09-27,232.5,232.5,234.75,231.84,234.3,8429802.0
2015-09-28,238.87,238.87,240.39,232.37,232.5,15282768.0
2015-09-29,236.71,236.71,240.39,234.8,238.87,13637645.0
2015-09-30,235.93,235.93,237.83,234.39,236.71,11946864.0
2015-10-01,237.05,237.05,238.66,234.7,235.93,12534482.0
2015-10-02,236.71,236.71,238.45,235.14,237.05,11378441.0
2015-10-03,238.58,238.58,239.52,236.07,236.71,10338780.0
2015-10-04,238.33,238.33,277.58,237.51,238.58,7618430.0
2015-10-05,240.15,240.15,240.53,236.41,238.33,14631928.0
2015-10-06,246.14,246.14,247.61,239.36,240.15,19242190.0
